Metric                                                                                                  main_qknorm       patched_fused
smsp__pcsamp_warps_issue_stalled_long_scoreboard                                                               9729           1.358e+04
smsp__pcsamp_warps_issue_stalled_short_scoreboard                                                              1623                3139
smsp__pcsamp_warps_issue_stalled_wait                                                                          1976                2911
smsp__pcsamp_warps_issue_stalled_barrier                                                                          0                   0
smsp__pcsamp_warps_issue_stalled_math_pipe_throttle                                                             382                 938
smsp__pcsamp_warps_issue_stalled_mio_throttle                                                                     3                 278
smsp__pcsamp_warps_issue_stalled_lg_throttle                                                                      0                  24
smsp__pcsamp_warps_issue_stalled_not_selected                                                                  1214                2623
smsp__pcsamp_warps_issue_stalled_dispatch_stall                                                                 163                 374
smsp__pcsamp_warps_issue_stalled_drain                                                                            1                   4
smsp__pcsamp_warps_issue_stalled_no_instructions                                                                 80                  88
smsp__pcsamp_warps_issue_stalled_selected                                                                       918                1429
smsp__pcsamp_warps_issue_stalled_branch_resolving                                                               154                 161
smsp__pcsamp_warps_issue_stalled_membar                                                                           0                   0
